user_id,signup_date,plan_type,monthly_fee,avg_weekly_usage_hours,support_tickets,payment_failures,tenure_months,last_login_days_ago,churn
73,4/9/2024,Basic,14.99,2.4,0,0,8,0,No
74,10/12/2024,Premium,49.99,7,5,2,2,0,No
75,1/9/2024,Standard,29.99,3.3,10,1,5,188,Yes
76,6/16/2023,Standard,29.99,3.3,0,1,18,7,No
77,1/15/2024,Basic,14.99,1.4,0,0,11,2,No
78,12/30/2023,Standard,29.99,2.5,1,1,12,0,No
79,8/3/2023,Premium,49.99,3.5,0,1,17,3,No
80,11/17/2024,Premium,49.99,8.9,1,0,1,3,No
81,10/1/2023,Premium,49.99,3.7,2,0,15,5,No
82,12/19/2024,Standard,29.99,1,0,0,1,4,No
83,11/30/2024,Basic,14.99,2,0,0,1,8,No
84,10/25/2024,Premium,49.99,3.2,0,0,2,0,No
85,3/15/2023,Basic,14.99,1.8,3,0,21,1,No
86,9/15/2024,Basic,14.99,3.1,4,0,3,1,No
87,10/12/2024,Basic,14.99,1.9,3,0,2,8,Yes
88,6/25/2023,Standard,29.99,2.3,4,0,18,3,No
89,6/30/2024,Standard,29.99,1.9,1,1,6,4,No
90,9/8/2023,Basic,14.99,2.8,5,0,16,4,No
91,6/17/2023,Basic,14.99,2.3,6,2,18,20,Yes
92,4/18/2024,Standard,29.99,2.7,1,0,8,4,No
93,1/24/2024,Basic,14.99,3,3,1,11,0,No
94,10/4/2023,Standard,29.99,3.2,2,0,15,0,No
95,10/17/2024,Premium,49.99,3.7,6,0,2,1,Yes
96,12/5/2024,Basic,14.99,0.8,1,0,1,6,No
97,7/24/2024,Basic,14.99,1.7,4,0,5,2,No
98,8/13/2023,Premium,49.99,3.8,1,1,16,4,No
99,12/2/2024,Basic,14.99,0.4,6,1,1,4,Yes
100,11/29/2023,Standard,29.99,2.8,5,0,13,0,No
101,2/27/2023,Premium,49.99,3.6,4,1,3,577,Yes
102,8/23/2023,Basic,14.99,2.7,3,1,16,2,No
103,2/2/2023,Premium,49.99,4.1,2,0,23,0,No
104,11/20/2023,Standard,29.99,2.7,3,3,11,76,Yes
105,2/15/2024,Basic,14.99,1.9,4,1,10,5,No
106,10/2/2023,Premium,49.99,5.1,11,2,7,239,Yes
107,3/9/2023,Basic,14.99,2.7,4,0,22,3,No
108,8/5/2023,Premium,49.99,3,2,1,17,4,No
109,8/3/2024,Premium,49.99,5.2,0,0,5,0,No
110,11/19/2023,Standard,29.99,3.5,1,0,13,2,No
111,8/6/2023,Standard,29.99,2.9,2,2,17,0,No
112,11/2/2024,Standard,29.99,4.6,5,0,1,9,No
113,5/26/2024,Basic,14.99,1.2,1,0,7,2,No
114,2/10/2024,Basic,14.99,1.8,3,0,10,5,No
115,10/20/2024,Basic,14.99,2.4,5,0,2,3,No
116,4/14/2024,Standard,29.99,2.3,1,0,8,5,No
117,5/27/2023,Standard,29.99,1.7,9,0,3,487,Yes
118,9/29/2023,Basic,14.99,1.6,2,0,15,6,No
119,5/23/2023,Basic,14.99,1.6,1,1,19,1,No
120,9/10/2023,Basic,14.99,2,4,0,15,0,No
121,7/28/2024,Standard,29.99,2.8,3,0,5,4,No
122,7/5/2024,Basic,14.99,2.1,2,0,5,0,No
123,9/27/2023,Standard,29.99,3.2,10,1,4,324,Yes
124,8/21/2024,Standard,29.99,3,2,0,4,1,No
125,3/14/2024,Standard,29.99,3.5,2,0,9,0,No
126,8/20/2024,Basic,14.99,1.2,3,1,4,2,Yes
127,2/13/2024,Basic,14.99,3,1,0,10,2,No
128,1/6/2024,Standard,29.99,3.3,9,2,9,92,Yes
129,8/13/2023,Standard,29.99,2.7,3,1,16,4,No
130,5/22/2023,Standard,29.99,2.2,4,0,19,2,No
131,6/5/2024,Premium,49.99,6.4,3,0,6,0,No
132,5/20/2024,Standard,29.99,2.7,4,0,7,2,No
133,4/4/2023,Basic,14.99,1.2,11,1,3,524,Yes
134,2/18/2023,Basic,14.99,1.4,5,0,4,563,Yes
135,4/23/2023,Premium,49.99,3.6,0,2,20,4,No
136,6/6/2023,Standard,29.99,2.5,7,2,15,106,Yes
137,10/4/2024,Standard,29.99,3.9,2,0,2,6,No
138,6/13/2023,Basic,14.99,2.9,4,1,18,1,No
139,11/27/2024,Premium,49.99,5.7,0,0,1,0,No
140,3/8/2024,Basic,14.99,2.7,3,1,9,0,No
141,9/2/2024,Standard,29.99,3.2,0,0,4,3,No
142,3/7/2023,Standard,29.99,2.2,5,0,22,1,No
143,1/30/2024,Premium,49.99,4.4,1,0,11,2,No
144,1/26/2024,Premium,49.99,4,4,0,11,7,No
145,9/2/2024,Premium,49.99,4,2,0,4,0,No
146,4/24/2024,Standard,29.99,2.4,7,1,8,0,Yes
147,6/25/2024,Premium,49.99,5.7,3,0,6,1,No
148,9/15/2023,Premium,49.99,4.7,5,0,15,3,No
149,7/20/2024,Basic,14.99,1.5,6,1,5,9,Yes
150,1/12/2023,Basic,14.99,2.8,0,1,23,0,No
151,11/27/2024,Basic,14.99,2.5,1,0,1,0,No
152,4/28/2023,Basic,14.99,1.1,1,0,20,0,No
153,11/29/2024,Basic,14.99,3,4,0,1,1,No
154,7/3/2024,Standard,29.99,2.8,5,0,6,4,No
155,10/1/2023,Basic,14.99,2.2,5,0,15,5,No
156,10/18/2024,Basic,14.99,3,4,0,2,0,No
157,12/15/2023,Premium,49.99,3.9,3,0,12,3,No
158,4/25/2023,Basic,14.99,2.2,4,2,20,3,No
159,10/28/2023,Standard,29.99,2.8,1,1,14,3,No
160,3/21/2024,Basic,14.99,2.4,5,0,9,1,No
161,6/11/2023,Standard,29.99,2.1,0,0,18,4,No
162,4/9/2024,Standard,29.99,3.3,7,1,8,2,Yes
163,1/4/2023,Standard,29.99,3.9,11,2,8,486,Yes
164,9/27/2023,Standard,29.99,2.5,2,0,15,2,No
165,5/27/2024,Basic,14.99,1.5,9,1,5,47,Yes
166,7/2/2023,Basic,14.99,1.1,0,1,18,2,No
167,6/3/2024,Premium,49.99,5.3,0,0,7,2,No
168,4/19/2023,Standard,29.99,2.4,0,0,20,2,No
169,10/2/2024,Basic,14.99,1.8,1,0,3,0,No
170,11/2/2023,Basic,14.99,1.5,1,2,14,0,No
171,10/16/2024,Standard,29.99,4.3,0,0,2,1,No
172,6/3/2024,Standard,29.99,2,6,2,7,7,Yes
173,9/15/2024,Standard,29.99,3.4,4,0,3,4,No
174,7/23/2023,Premium,49.99,5.7,5,0,17,4,No
175,6/6/2023,Basic,14.99,2,9,2,19,1,Yes
176,1/18/2024,Premium,49.99,3.3,4,1,11,1,No
177,6/15/2023,Basic,14.99,1.9,6,2,1,510,Yes
178,7/6/2024,Standard,29.99,2.7,11,2,3,68,Yes
179,6/27/2024,Standard,29.99,2.7,1,1,6,0,No
180,1/1/2023,Premium,49.99,2.7,4,1,16,254,Yes
181,9/5/2024,Standard,29.99,2.9,1,0,3,3,No
182,11/28/2023,Basic,14.99,2.7,3,1,13,2,No
183,5/15/2024,Standard,29.99,3.5,3,1,7,2,No
184,1/20/2023,Premium,49.99,3.1,8,3,13,313,Yes
185,4/25/2023,Standard,29.99,3.5,2,0,20,1,No
186,1/7/2024,Standard,29.99,2.2,5,1,11,4,No
187,11/11/2023,Standard,29.99,2.1,0,1,13,5,No
188,9/3/2023,Basic,14.99,2.1,2,0,16,1,No
189,3/1/2023,Standard,29.99,3.2,8,2,9,376,Yes
190,9/4/2023,Premium,49.99,3.8,4,3,10,156,Yes
191,8/3/2024,Basic,14.99,1,2,0,5,4,No
192,3/22/2023,Premium,49.99,4.3,4,1,21,3,No
193,3/29/2023,Standard,29.99,2.6,8,0,2,566,Yes
194,5/12/2024,Standard,29.99,2.7,0,0,7,3,No
195,3/12/2023,Standard,29.99,3.4,5,0,22,2,No
196,6/29/2024,Premium,49.99,2.6,6,1,1,148,Yes
197,5/9/2023,Premium,49.99,4.8,3,2,20,1,No
198,5/12/2023,Standard,29.99,3,0,0,19,0,No
199,11/6/2024,Basic,14.99,3.9,4,0,1,1,No
200,5/1/2024,Basic,14.99,1.9,2,0,8,0,No
201,7/16/2024,Basic,14.99,2.5,1,0,5,1,No
202,6/19/2023,Premium,49.99,4.9,5,1,18,1,No
203,9/29/2023,Standard,29.99,3.8,1,2,15,8,No
204,6/24/2024,Premium,49.99,5.9,4,0,6,4,No
205,9/13/2024,Basic,14.99,2.7,5,0,3,4,No
206,3/9/2024,Premium,49.99,3.9,1,0,9,4,No
207,8/5/2023,Standard,29.99,3.4,2,0,17,4,No
208,7/6/2024,Basic,14.99,2.3,4,0,5,1,No
209,12/7/2024,Premium,49.99,1,7,0,1,0,Yes
210,7/25/2023,Standard,29.99,2.4,0,0,17,1,No
211,11/16/2023,Premium,49.99,5.8,3,0,13,4,No
212,2/13/2024,Standard,29.99,2.2,1,1,10,1,No
213,11/18/2024,Premium,49.99,5.1,0,0,1,5,No
214,10/27/2024,Basic,14.99,2.2,6,1,2,2,Yes
215,1/18/2024,Basic,14.99,1.4,5,1,11,3,No
216,3/24/2024,Premium,49.99,5.5,5,0,9,3,No
217,6/13/2024,Premium,49.99,5,0,0,6,1,No
218,4/7/2024,Standard,29.99,3.4,0,0,8,2,No
219,5/4/2023,Premium,49.99,2.9,7,0,6,427,Yes
220,9/11/2023,Premium,49.99,4.3,2,0,15,3,No
221,8/19/2023,Basic,14.99,2.6,0,3,16,1,No
222,3/7/2023,Standard,29.99,2.7,4,3,22,1,No
223,12/13/2023,Basic,14.99,2.8,3,0,12,2,No
224,1/22/2023,Standard,29.99,3.2,1,0,23,2,No
225,8/25/2024,Standard,29.99,2.8,3,0,4,3,No
226,7/21/2024,Standard,29.99,3.4,4,0,5,5,No
227,8/24/2023,Premium,49.99,4.4,5,0,16,4,No
228,8/25/2024,Basic,14.99,2.4,4,2,4,2,Yes
229,8/14/2023,Basic,14.99,1.2,11,1,2,439,Yes
230,1/8/2023,Standard,29.99,2.4,1,1,24,3,No
231,3/14/2023,Standard,29.99,3.3,10,3,14,230,Yes
232,12/25/2024,Standard,29.99,0.4,1,0,1,0,No
233,10/8/2024,Basic,14.99,1.4,3,0,2,4,No
234,3/2/2023,Premium,49.99,3.8,4,1,22,2,No
235,8/23/2023,Basic,14.99,2.7,1,1,16,0,No
236,3/11/2023,Standard,29.99,3.3,2,0,22,2,No
237,2/2/2023,Standard,29.99,2.5,0,1,23,10,No
238,12/5/2023,Standard,29.99,2,4,3,13,2,No
239,3/14/2023,Standard,29.99,2.5,6,1,3,550,Yes
240,6/10/2024,Basic,14.99,1.8,7,0,6,3,Yes
241,9/1/2023,Standard,29.99,2.8,0,1,16,0,No
242,10/13/2023,Premium,49.99,3.6,2,1,14,0,No
243,11/16/2024,Premium,49.99,5,1,0,1,2,No
244,5/12/2024,Basic,14.99,1.3,4,0,7,0,No
245,8/8/2023,Basic,14.99,1.9,5,0,17,2,No
246,7/6/2024,Basic,14.99,2.3,2,0,5,5,No
247,5/16/2023,Standard,29.99,2.8,3,0,19,0,No
248,8/7/2024,Premium,49.99,4.8,4,1,3,44,Yes
249,8/13/2024,Basic,14.99,2.7,1,0,4,3,No
250,4/29/2024,Standard,29.99,2.2,2,0,8,0,No
251,9/6/2023,Basic,14.99,2.1,4,1,16,0,No
252,4/29/2024,Basic,14.99,2.2,3,0,8,1,No
253,2/21/2024,Basic,14.99,2.8,0,0,10,0,No
254,7/14/2023,Premium,49.99,3.5,5,0,17,3,No
255,4/7/2023,Premium,49.99,4.9,9,3,8,379,Yes
256,4/10/2023,Standard,29.99,3,4,0,21,3,No
257,11/5/2024,Basic,14.99,2.9,5,0,1,1,No
258,3/17/2024,Standard,29.99,2.1,5,0,9,0,No
259,12/29/2023,Standard,29.99,3.3,3,0,12,7,No
260,3/9/2024,Basic,14.99,2.3,3,0,9,0,No
261,2/25/2024,Standard,29.99,3.5,9,1,1,255,Yes
262,4/23/2024,Basic,14.99,2.1,1,0,8,2,No
263,2/25/2023,Basic,14.99,1.6,1,1,22,0,No
264,11/20/2024,Basic,14.99,2.1,1,0,1,1,No
265,10/31/2024,Standard,29.99,2.9,4,0,2,2,No
266,10/23/2024,Standard,29.99,4,3,0,2,0,No
267,4/11/2023,Basic,14.99,2.7,1,1,21,3,No
268,3/4/2023,Standard,29.99,3.6,0,0,22,4,No
269,2/17/2024,Basic,14.99,1,3,1,1,284,Yes
270,12/14/2023,Premium,49.99,5.3,4,1,12,6,No
271,4/22/2023,Basic,14.99,1.8,4,0,20,0,No
272,9/12/2023,Basic,14.99,1.4,4,0,15,0,No
273,7/16/2023,Basic,14.99,2.3,5,0,4,398,Yes
274,7/14/2023,Basic,14.99,2,10,2,4,414,Yes
275,7/3/2024,Basic,14.99,2.8,0,1,6,4,No
276,4/4/2024,Basic,14.99,1.3,4,0,9,6,Yes
277,5/24/2023,Premium,49.99,3.4,2,0,19,2,No
278,3/8/2024,Premium,49.99,2.9,9,0,9,7,Yes
279,7/7/2023,Standard,29.99,2.2,5,0,18,0,No
280,10/13/2023,Standard,29.99,4,1,1,14,0,No
281,4/18/2024,Standard,29.99,2.9,5,0,8,0,No
282,9/13/2023,Basic,14.99,2.5,0,2,15,4,No
283,3/19/2023,Standard,29.99,3.7,5,3,10,336,Yes
284,3/29/2024,Basic,14.99,2.5,5,1,9,6,No
285,7/17/2024,Basic,14.99,2.4,1,0,5,3,No
286,4/11/2023,Basic,14.99,2.7,4,1,21,6,No
287,2/21/2023,Standard,29.99,1.8,3,1,1,641,Yes
288,10/29/2024,Standard,29.99,3.5,3,0,2,5,No
289,7/7/2024,Basic,14.99,1.1,5,0,5,5,No
290,1/16/2023,Basic,14.99,0.6,4,0,1,682,Yes
291,4/6/2023,Standard,29.99,2.1,0,2,21,10,No
292,8/31/2023,Basic,14.99,2.6,1,0,16,2,No
293,6/20/2023,Premium,49.99,3.2,0,1,18,6,No
294,2/21/2024,Premium,49.99,4.1,4,2,10,3,Yes
295,5/12/2024,Basic,14.99,3.3,2,0,7,0,No
296,5/7/2024,Premium,49.99,5.2,1,0,7,3,No
297,8/7/2023,Basic,14.99,2.6,4,1,17,3,No
298,2/15/2024,Premium,49.99,3.4,0,0,10,0,No
299,3/2/2023,Standard,29.99,3.1,2,1,22,3,No
300,6/18/2023,Basic,14.99,2.7,5,1,10,257,Yes
301,1/24/2024,Basic,14.99,1.3,1,0,11,0,No
302,1/3/2023,Standard,29.99,3.2,4,0,24,2,No
303,2/4/2024,Standard,29.99,3,4,0,11,0,No
304,9/29/2023,Standard,29.99,3.8,2,0,15,0,No
305,4/10/2024,Basic,14.99,1.1,1,2,8,2,No
306,10/20/2023,Basic,14.99,1.8,2,0,14,0,No
307,3/9/2024,Standard,29.99,2,5,0,2,232,Yes
308,12/14/2024,Basic,14.99,0.6,1,0,1,3,No
309,7/23/2024,Standard,29.99,3.5,4,0,5,1,No
310,11/8/2024,Basic,14.99,3,2,1,1,2,No
311,5/13/2024,Standard,29.99,2.2,4,0,7,3,No
312,6/8/2023,Premium,49.99,3.3,0,0,19,1,No
313,7/14/2023,Basic,14.99,1.9,3,1,17,3,No
314,10/31/2023,Basic,14.99,1.8,2,0,14,1,No
315,8/11/2023,Basic,14.99,2.7,5,1,16,2,No
316,3/1/2023,Standard,29.99,3.3,3,2,22,1,No
317,8/16/2024,Basic,14.99,2.8,1,0,4,1,No
318,7/9/2024,Basic,14.99,3.1,2,0,5,0,No
319,3/4/2023,Basic,14.99,2.1,3,2,22,6,No
320,11/18/2023,Standard,29.99,3.5,11,0,3,305,Yes
321,2/28/2023,Standard,29.99,2.6,8,2,15,202,Yes
322,2/21/2023,Standard,29.99,2.4,2,0,22,2,No
323,8/21/2024,Premium,49.99,4.7,1,0,4,0,No
324,5/3/2024,Basic,14.99,2.2,9,0,8,1,Yes
325,5/29/2024,Premium,49.99,5.1,7,2,7,1,Yes
326,6/27/2024,Standard,29.99,3.1,9,1,6,6,Yes
327,6/11/2023,Basic,14.99,1.6,1,0,18,2,No
328,2/28/2023,Standard,29.99,3.5,5,1,18,120,Yes
329,6/4/2024,Basic,14.99,2.3,7,1,2,140,Yes
330,3/24/2023,Premium,49.99,5.5,4,0,21,2,No
331,7/10/2023,Basic,14.99,2.7,3,0,18,3,No
332,3/12/2023,Premium,49.99,3,10,3,18,111,Yes
333,9/1/2024,Standard,29.99,2.3,2,0,4,2,No
334,3/11/2023,Basic,14.99,1.6,0,2,22,5,No
335,11/22/2024,Premium,49.99,2.3,3,0,1,5,Yes
336,8/29/2023,Basic,14.99,1.6,5,0,16,0,No
337,2/18/2024,Premium,49.99,5,4,1,10,0,No
338,5/3/2023,Standard,29.99,1.8,1,1,20,1,No
339,8/6/2024,Standard,29.99,3.3,4,0,4,5,Yes
340,9/10/2023,Basic,14.99,1.4,4,3,15,5,No
341,8/15/2024,Basic,14.99,1.2,0,1,4,0,No
342,8/31/2024,Basic,14.99,1.1,3,0,4,0,No
343,2/10/2023,Standard,29.99,2.4,6,1,8,434,Yes
344,9/26/2024,Standard,29.99,3,3,0,3,0,No
345,3/25/2023,Premium,49.99,4.6,2,0,21,2,No
346,3/5/2024,Basic,14.99,0.9,1,1,10,3,No
347,11/4/2024,Basic,14.99,3.7,2,0,1,3,No
348,8/20/2024,Basic,14.99,1.4,5,0,4,1,No
349,8/1/2024,Basic,14.99,2.7,0,2,5,1,No
350,6/19/2024,Standard,29.99,2.2,3,0,6,2,No
351,11/20/2023,Premium,49.99,3.7,2,0,13,3,No
352,9/25/2023,Basic,14.99,2.6,4,0,15,2,No
353,7/29/2023,Standard,29.99,2.7,4,1,17,7,No
354,11/16/2024,Standard,29.99,3.9,4,0,1,1,No
355,11/18/2023,Standard,29.99,3.3,11,0,2,326,Yes
356,9/2/2023,Premium,49.99,3,4,0,16,0,No
357,9/29/2023,Basic,14.99,0.9,1,0,15,0,No
358,2/10/2024,Basic,14.99,1.4,11,1,5,161,Yes
359,5/15/2023,Standard,29.99,2.7,6,0,3,496,Yes
360,11/18/2024,Basic,14.99,1.9,5,0,1,0,No
361,10/22/2024,Basic,14.99,2.4,1,0,2,5,No
362,11/4/2023,Basic,14.99,2,5,1,3,316,Yes
363,4/13/2024,Standard,29.99,2.2,4,2,8,4,No
364,11/20/2023,Premium,49.99,3.3,4,0,13,2,No
365,3/16/2023,Basic,14.99,1.8,3,1,21,3,No
366,1/10/2023,Basic,14.99,2,7,2,11,394,Yes
367,4/14/2024,Premium,49.99,2.9,6,1,8,4,Yes
368,9/28/2024,Basic,14.99,1.3,2,0,3,0,No
369,7/30/2024,Premium,49.99,3.6,4,0,5,0,No
370,4/13/2023,Basic,14.99,1.8,0,1,20,0,No
371,3/17/2023,Standard,29.99,3.1,0,0,21,3,No
372,7/4/2024,Standard,29.99,2,0,0,6,0,No
373,8/7/2023,Standard,29.99,3.5,3,0,17,2,No
374,6/2/2024,Basic,14.99,3,5,1,7,2,No
375,9/29/2023,Standard,29.99,2,5,2,7,223,Yes
376,5/16/2023,Premium,49.99,3.6,5,0,19,2,No
377,12/24/2023,Basic,14.99,1.6,5,1,2,305,Yes
378,3/12/2023,Standard,29.99,3.9,0,1,22,2,No
379,9/8/2023,Basic,14.99,1,5,0,16,1,No
380,1/14/2024,Basic,14.99,2.6,10,2,8,100,Yes
381,10/19/2023,Premium,49.99,5,5,0,14,1,No
382,6/11/2023,Premium,49.99,5.4,4,2,18,1,No
383,3/24/2024,Basic,14.99,2.9,3,0,9,4,No
384,7/10/2024,Standard,29.99,2.7,3,1,5,1,No
385,12/21/2024,Basic,14.99,0.1,8,1,1,1,Yes
386,11/6/2023,Premium,49.99,4.2,5,1,14,0,No
387,9/18/2024,Standard,29.99,3.8,4,0,3,0,No
388,10/31/2024,Basic,14.99,2.7,3,1,2,1,No
389,6/25/2024,Basic,14.99,1.4,2,0,6,0,No
390,1/9/2023,Standard,29.99,3.2,8,2,4,586,Yes
391,11/14/2024,Basic,14.99,2.2,4,1,1,2,Yes
392,7/21/2024,Basic,14.99,1,3,0,5,6,No
393,11/3/2023,Basic,14.99,2.2,4,0,14,7,No
394,11/10/2024,Basic,14.99,4,0,0,1,1,No
395,4/17/2023,Standard,29.99,3.4,3,0,20,3,No
396,5/18/2023,Premium,49.99,5.3,4,1,19,1,No
397,9/28/2023,Basic,14.99,1.9,10,2,3,351,Yes
398,4/29/2023,Standard,29.99,4,5,1,20,0,No
399,4/20/2023,Basic,14.99,1.3,2,1,20,4,No
400,7/20/2024,Basic,14.99,0.9,10,1,5,0,Yes
401,6/9/2023,Standard,29.99,2.6,0,1,19,2,No
402,10/6/2023,Standard,29.99,3.5,7,0,4,321,Yes
403,10/16/2023,Standard,29.99,4.1,2,1,14,3,No
404,9/11/2024,Standard,29.99,2.9,4,0,3,0,No
405,8/4/2023,Basic,14.99,1.9,2,1,17,0,No
406,12/18/2023,Basic,14.99,1.4,5,0,12,2,No
407,7/28/2023,Basic,14.99,1.3,9,2,13,134,Yes
408,12/4/2024,Standard,29.99,2.6,5,0,1,0,No
409,10/11/2024,Standard,29.99,4.6,3,0,2,0,No
410,9/28/2023,Standard,29.99,3.4,2,0,15,2,No
411,6/1/2024,Premium,49.99,5.5,1,0,7,0,No
412,5/15/2024,Standard,29.99,2.9,11,0,7,0,Yes
413,9/15/2023,Standard,29.99,3.1,1,0,15,3,No
414,2/22/2023,Basic,14.99,2.5,0,0,22,4,No
415,4/5/2023,Premium,49.99,4.8,11,0,10,322,Yes
416,10/11/2024,Basic,14.99,1.4,8,2,2,0,Yes
417,3/9/2024,Standard,29.99,2.5,3,1,9,4,No
418,10/11/2023,Premium,49.99,5,1,1,14,0,No
419,2/15/2023,Premium,49.99,3,7,1,12,319,Yes
420,1/4/2023,Standard,29.99,2.8,3,1,24,1,No
421,12/8/2023,Standard,29.99,2.6,1,0,12,0,No
422,5/14/2023,Basic,14.99,1.7,0,0,19,5,No
423,10/14/2024,Premium,49.99,4.6,3,0,2,0,No
424,9/26/2023,Standard,29.99,2.8,3,1,15,4,No
425,6/15/2023,Standard,29.99,2.7,0,0,18,8,No
426,3/28/2024,Premium,49.99,2.9,5,0,9,0,No
427,7/18/2024,Standard,29.99,2,4,0,5,0,No
428,12/23/2024,Basic,14.99,0.1,5,1,1,0,Yes
429,3/13/2024,Standard,29.99,2.6,5,1,9,0,No
430,7/28/2024,Basic,14.99,1.1,1,0,5,3,No
431,1/10/2023,Basic,14.99,1.8,5,2,24,1,No
432,4/25/2023,Standard,29.99,3.3,0,0,20,1,No
433,3/19/2023,Premium,49.99,4.3,5,1,21,2,No
434,12/8/2024,Basic,14.99,2,0,0,1,1,No
435,6/2/2023,Standard,29.99,2.8,7,2,5,412,Yes
436,7/12/2024,Basic,14.99,1.7,5,1,5,3,No
437,2/6/2023,Standard,29.99,2,5,0,23,1,No
438,1/14/2024,Basic,14.99,3.1,2,0,11,5,No
439,8/19/2024,Basic,14.99,1.1,10,1,4,1,Yes
440,7/19/2024,Premium,49.99,4.5,2,0,5,2,No
441,6/1/2023,Basic,14.99,1.3,1,1,19,1,No
442,3/16/2024,Premium,49.99,4.1,1,1,9,2,No
443,5/11/2023,Standard,29.99,2,3,1,20,1,No
444,2/12/2023,Premium,49.99,5.5,3,0,22,1,No
