ticket_id,user_id,date_opened,category,severity,resolution_time_hours
260,65,12/26/2024,Billing,Low,23
261,65,11/25/2024,Billing,Low,44
262,65,11/29/2024,Billing,Low,24
263,66,1/23/2024,Technical,Medium,29
264,66,6/15/2024,Access,Medium,91
265,66,8/26/2024,Technical,Low,47
266,66,6/10/2024,Billing,Medium,91
267,67,10/29/2023,Billing,Medium,81
268,67,3/5/2024,Technical,High,39
269,68,3/25/2024,Billing,High,6
270,68,11/19/2023,Technical,Medium,65
271,68,5/25/2023,Technical,Low,11
272,68,7/22/2023,Access,Medium,119
273,68,7/11/2024,Access,Medium,40
274,71,6/30/2024,Access,Low,10
275,71,4/15/2024,Access,Medium,50
276,71,8/19/2024,Access,Low,41
277,71,10/8/2024,Access,Low,7
278,71,7/2/2024,Access,Low,9
279,72,12/8/2024,Technical,High,25
280,72,12/24/2024,Technical,Low,35
281,72,11/28/2024,Billing,Low,3
282,72,9/29/2024,Technical,Low,28
283,72,11/29/2024,Technical,Medium,78
284,72,12/24/2024,Technical,Low,15
285,72,11/3/2024,Technical,Medium,30
286,72,12/11/2023,Billing,Low,6
287,74,11/18/2024,Billing,Medium,45
288,74,11/28/2024,Technical,Medium,92
289,74,12/29/2024,Billing,High,22
290,74,11/9/2024,Access,Medium,39
291,74,11/9/2024,Technical,Medium,50
292,75,2/12/2024,Technical,Low,26
293,75,6/15/2024,Billing,Low,39
294,75,5/10/2024,Technical,Medium,44
295,75,6/7/2024,Technical,Low,38
296,75,5/11/2024,Access,Low,21
297,75,4/30/2024,Technical,Low,13
298,75,6/11/2024,Billing,Low,6
299,75,5/5/2024,Technical,High,54
300,75,5/4/2024,Billing,Low,15
301,75,5/16/2024,Billing,Low,4
302,78,3/17/2024,Billing,Low,13
303,80,12/16/2024,Billing,High,68
304,81,10/17/2024,Technical,Low,29
305,81,8/6/2024,Billing,Medium,72
306,85,3/31/2024,Access,High,63
307,85,5/13/2024,Access,Medium,72
308,85,9/27/2024,Access,High,59
309,86,11/14/2024,Technical,Low,28
310,86,12/20/2024,Technical,Low,23
311,86,11/22/2024,Billing,High,54
312,86,12/26/2024,Technical,Low,30
313,87,11/8/2024,Technical,Medium,100
314,87,11/7/2024,Technical,Low,44
315,87,11/25/2024,Billing,Low,20
316,88,3/4/2024,Access,Low,18
317,88,9/16/2023,Access,Low,8
318,88,12/14/2024,Access,Medium,61
319,88,9/24/2024,Technical,Medium,60
320,89,11/12/2024,Technical,Low,25
321,90,9/2/2024,Access,Medium,114
322,90,3/11/2024,Billing,Low,12
323,90,10/17/2023,Billing,High,26
324,90,12/20/2024,Technical,Medium,66
325,90,6/22/2024,Billing,Medium,101
326,91,10/9/2023,Technical,Medium,41
327,91,10/22/2024,Technical,Medium,111
328,91,11/28/2024,Technical,Medium,99
329,91,8/19/2023,Technical,High,16
330,91,11/28/2024,Technical,Low,28
331,91,11/15/2024,Technical,Medium,73
332,92,7/30/2024,Billing,Low,30
333,93,11/12/2024,Access,Medium,42
334,93,10/24/2024,Technical,Medium,100
335,93,4/9/2024,Access,Medium,13
336,94,12/27/2023,Technical,High,20
337,94,3/19/2024,Technical,Low,33
338,95,12/16/2024,Technical,High,45
339,95,12/22/2024,Access,High,65
340,95,12/12/2024,Billing,Low,41
341,95,11/11/2024,Billing,High,44
342,95,11/28/2024,Billing,Low,13
343,95,10/31/2024,Billing,Low,43
344,96,12/26/2024,Billing,Low,24
345,97,9/14/2024,Technical,Medium,91
346,97,12/20/2024,Access,Low,33
347,97,11/26/2024,Billing,Medium,50
348,97,8/16/2024,Access,Medium,25
349,98,11/15/2024,Technical,High,53
350,99,12/17/2024,Technical,High,10
351,99,12/24/2024,Billing,Low,17
352,99,12/27/2024,Technical,High,7
353,99,12/18/2024,Billing,Medium,69
354,99,12/4/2024,Billing,High,42
355,99,11/13/2024,Technical,High,32
356,100,7/14/2024,Technical,Medium,39
357,100,12/27/2023,Access,Low,39
358,100,7/18/2024,Technical,Low,26
359,100,2/4/2024,Access,Medium,112
360,100,8/17/2024,Access,High,23
361,101,4/12/2023,Technical,High,21
362,101,4/21/2023,Billing,Low,8
363,101,4/26/2023,Access,Medium,38
364,101,5/10/2023,Technical,Low,8
365,102,9/21/2023,Billing,Medium,97
366,102,6/4/2024,Billing,High,21
367,102,4/15/2024,Access,Medium,18
368,103,12/21/2024,Access,Low,33
369,103,12/14/2023,Access,Low,2
370,104,9/6/2024,Billing,Low,6
371,104,9/25/2024,Technical,Medium,112
372,104,9/25/2024,Billing,Low,3
373,105,2/26/2024,Technical,Medium,50
374,105,9/4/2024,Access,Low,25
375,105,6/24/2024,Billing,Medium,116
376,105,2/16/2024,Technical,Low,41
377,106,3/14/2024,Technical,Medium,47
378,106,3/25/2024,Access,Low,3
379,106,4/9/2024,Technical,Medium,37
380,106,11/26/2023,Billing,Low,5
381,106,5/1/2024,Technical,Medium,110
382,106,3/23/2024,Technical,Low,46
383,106,2/27/2024,Billing,Low,34
384,106,10/20/2023,Billing,High,29
385,106,3/10/2024,Technical,Low,12
386,106,4/10/2024,Technical,Low,11
387,106,3/17/2024,Billing,Low,26
388,107,4/24/2023,Access,Low,37
389,107,5/15/2024,Access,Low,43
390,107,2/24/2024,Technical,High,48
391,107,5/13/2023,Technical,Medium,65
392,108,10/5/2023,Billing,Low,3
393,108,10/14/2023,Access,Medium,28
394,110,7/17/2024,Technical,Medium,98
395,111,9/7/2023,Billing,Low,26
396,111,5/25/2024,Technical,Low,34
397,112,11/28/2024,Technical,Medium,37
398,112,11/13/2024,Access,Low,13
399,112,12/21/2024,Access,Low,37
400,112,11/10/2024,Technical,Low,45
401,112,12/21/2024,Access,Low,18
402,113,11/6/2024,Billing,Medium,28
403,114,9/12/2024,Billing,Low,11
404,114,8/19/2024,Technical,Low,30
405,114,8/23/2024,Technical,Low,16
406,115,12/16/2024,Technical,Low,38
407,115,12/7/2024,Access,High,5
408,115,12/7/2024,Access,Low,21
409,115,10/30/2024,Access,Medium,35
410,115,12/28/2024,Billing,Medium,70
411,116,6/21/2024,Billing,Low,30
412,117,8/18/2023,Technical,Medium,38
413,117,7/10/2023,Billing,Low,42
414,117,8/20/2023,Billing,Medium,117
415,117,7/23/2023,Technical,High,15
416,117,6/11/2023,Billing,High,27
417,117,9/2/2023,Billing,Low,45
418,117,7/29/2023,Technical,Low,29
419,117,6/18/2023,Billing,Medium,82
420,117,8/3/2023,Billing,Low,15
421,118,4/17/2024,Billing,Low,8
422,118,6/25/2024,Access,Low,10
423,119,9/30/2023,Technical,Medium,13
424,120,9/16/2024,Technical,Low,40
425,120,1/2/2024,Technical,Medium,100
426,120,11/10/2024,Technical,Medium,98
427,120,9/11/2023,Billing,Medium,74
428,121,8/2/2024,Access,High,43
429,121,10/12/2024,Billing,Low,21
430,121,11/23/2024,Technical,Medium,80
431,122,12/24/2024,Access,Medium,64
432,122,11/21/2024,Billing,Low,1
433,123,1/13/2024,Access,Low,35
434,123,2/2/2024,Billing,Low,8
435,123,2/12/2024,Billing,Low,8
436,123,2/10/2024,Technical,Medium,19
437,123,1/16/2024,Access,Low,16
438,123,2/4/2024,Billing,Medium,35
439,123,1/18/2024,Access,Medium,41
440,123,1/2/2024,Billing,Low,9
441,123,1/15/2024,Technical,Low,8
442,123,12/21/2023,Technical,Medium,113
443,124,10/18/2024,Billing,Low,24
444,124,10/23/2024,Technical,Low,24
445,125,11/4/2024,Technical,Low,17
446,125,9/7/2024,Billing,Low,35
447,126,11/24/2024,Billing,Low,43
448,126,9/28/2024,Technical,Medium,33
449,126,11/19/2024,Technical,Medium,101
450,127,7/3/2024,Billing,Low,32
451,128,4/11/2024,Technical,Medium,113
452,128,10/5/2024,Technical,Low,10
453,128,9/29/2024,Technical,High,11
454,128,3/3/2024,Billing,Low,24
455,128,1/22/2024,Billing,Medium,38
456,128,8/7/2024,Billing,Low,15
457,128,8/24/2024,Technical,Medium,58
458,128,1/14/2024,Technical,Low,17
459,128,9/25/2024,Access,Medium,57
460,129,12/14/2023,Technical,Medium,100
461,129,11/26/2023,Billing,Low,33
462,129,9/16/2023,Technical,Medium,82
463,130,9/2/2023,Access,Medium,45
464,130,6/25/2023,Access,Low,12
465,130,8/21/2024,Billing,Medium,35
466,130,7/10/2023,Technical,Low,9
467,131,8/6/2024,Technical,Medium,82
468,131,12/11/2024,Billing,Low,39
469,131,6/16/2024,Technical,Medium,72
470,132,8/30/2024,Access,High,45
471,132,9/9/2024,Technical,Medium,32
472,132,7/18/2024,Access,Low,4
473,132,10/5/2024,Billing,Medium,41
474,133,6/23/2023,Technical,Low,2
475,133,5/1/2023,Access,Low,23
476,133,7/9/2023,Billing,Low,23
477,133,6/23/2023,Access,Medium,60
478,133,7/23/2023,Access,Low,7
479,133,6/1/2023,Billing,High,56
480,133,7/12/2023,Technical,Low,45
481,133,4/11/2023,Billing,Low,8
482,133,7/4/2023,Technical,Low,27
483,133,6/3/2023,Technical,Low,5
484,133,7/4/2023,Billing,Medium,107
485,134,5/1/2023,Billing,Medium,62
486,134,6/4/2023,Billing,Low,42
487,134,5/3/2023,Billing,Low,8
488,134,3/7/2023,Billing,Low,23
489,134,4/23/2023,Billing,Low,23
490,136,8/8/2024,Technical,Medium,53
491,136,8/13/2024,Technical,Medium,106
492,136,11/1/2023,Billing,Medium,98
493,136,8/30/2024,Billing,Low,17
494,136,10/3/2023,Billing,Low,42
495,136,7/27/2024,Billing,Low,33
496,136,6/14/2024,Access,Low,14
497,137,12/16/2024,Access,High,12
498,137,11/13/2024,Technical,Low,37
499,138,5/6/2024,Technical,Medium,22
500,138,2/10/2024,Access,Low,17
501,138,4/17/2024,Access,High,8
502,138,11/6/2023,Technical,High,68
503,140,11/29/2024,Access,Low,14
504,140,6/29/2024,Access,Medium,76
505,140,10/5/2024,Billing,Medium,111
506,142,1/8/2024,Access,Low,29
507,142,12/13/2023,Access,Low,23
508,142,5/8/2023,Access,Medium,67
509,142,9/27/2024,Access,Low,40
510,142,11/1/2024,Access,Low,43
511,143,4/28/2024,Access,High,71
512,144,12/11/2024,Technical,Medium,14
513,144,8/31/2024,Access,Medium,33
514,144,11/5/2024,Technical,Low,24
515,144,10/5/2024,Billing,High,18
516,145,9/8/2024,Technical,High,50
517,145,10/16/2024,Technical,Medium,69
518,146,11/9/2024,Technical,Low,4
519,146,12/21/2024,Billing,High,60
520,146,11/20/2024,Access,Low,42
521,146,12/20/2024,Technical,Medium,31
522,146,11/23/2024,Billing,High,53
523,146,10/5/2024,Billing,Medium,114
524,146,12/17/2024,Billing,High,32
525,147,12/13/2024,Access,High,38
526,147,9/30/2024,Technical,Low,30
527,147,11/6/2024,Access,Low,43
528,148,2/25/2024,Technical,Medium,23
529,148,9/5/2024,Technical,Medium,112
530,148,4/15/2024,Technical,Medium,114
531,148,4/11/2024,Technical,Low,36
532,148,11/30/2023,Billing,Medium,101
533,149,11/9/2024,Billing,Low,4
534,149,12/19/2024,Technical,Low,44
535,149,11/5/2024,Billing,Low,8
536,149,11/15/2024,Billing,Low,43
537,149,12/5/2024,Technical,High,22
538,149,10/4/2024,Technical,Medium,45
539,151,12/21/2024,Technical,Low,29
540,152,11/2/2023,Technical,Medium,46
541,153,12/29/2024,Technical,Medium,100
542,153,12/14/2024,Access,Low,40
543,153,12/13/2024,Billing,Low,6
544,153,12/18/2024,Access,Medium,90
545,154,8/8/2024,Billing,Medium,108
546,154,10/29/2024,Technical,Low,24
547,154,7/17/2024,Access,Low,30
548,154,11/23/2024,Access,Medium,40
549,154,10/16/2024,Access,High,39
550,155,5/1/2024,Technical,Low,35
551,155,7/12/2024,Access,Medium,33
552,155,6/28/2024,Access,Low,21
553,155,12/8/2023,Billing,High,13
554,155,4/16/2024,Technical,Low,34
555,156,11/18/2024,Technical,Medium,104
556,156,11/19/2024,Access,Low,37
557,156,11/13/2024,Billing,High,57
558,156,11/29/2024,Access,Medium,75
559,157,11/10/2024,Billing,Low,39
560,157,1/24/2024,Technical,Low,19
561,157,8/1/2024,Technical,Low,38
562,158,5/8/2024,Billing,Low,30
563,158,7/28/2023,Billing,Low,42
564,158,10/24/2024,Technical,Medium,31
565,158,11/6/2023,Billing,Low,1
566,159,11/23/2023,Billing,Medium,17
567,160,8/5/2024,Technical,High,65
568,160,9/30/2024,Access,Low,36
569,160,4/10/2024,Access,Medium,68
570,160,4/27/2024,Access,Medium,64
571,160,6/25/2024,Access,Medium,103
572,162,11/13/2024,Billing,Low,32
573,162,7/29/2024,Billing,Low,20
574,162,12/10/2024,Technical,High,49
575,162,12/28/2024,Technical,Medium,76
576,162,12/9/2024,Billing,High,50
577,162,7/24/2024,Access,Low,13
578,162,12/9/2024,Technical,High,40
579,163,7/11/2023,Access,Medium,91
580,163,7/16/2023,Billing,High,4
581,163,7/14/2023,Technical,High,42
582,163,7/17/2023,Technical,High,52
583,163,8/22/2023,Technical,Medium,45
584,163,8/14/2023,Technical,Low,8
585,163,8/1/2023,Technical,Medium,106
586,163,7/12/2023,Access,Low,14
587,163,8/24/2023,Technical,Low,2
588,163,3/30/2023,Billing,Medium,76
589,163,8/30/2023,Access,Medium,14
590,164,2/29/2024,Access,Low,4
591,164,10/4/2023,Access,Low,3
592,165,10/17/2024,Technical,Low,35
593,165,9/29/2024,Technical,Medium,24
594,165,7/20/2024,Technical,Low,43
595,165,9/24/2024,Billing,Low,19
596,165,9/29/2024,Technical,Medium,83
597,165,11/18/2024,Billing,Medium,105
598,165,11/6/2024,Billing,Medium,63
599,165,10/10/2024,Technical,Low,46
600,165,7/14/2024,Technical,Medium,35
601,169,10/17/2024,Technical,Medium,12
602,170,11/18/2024,Access,High,54
603,172,12/13/2024,Technical,Low,37
604,172,11/17/2024,Technical,Low,25
605,172,10/3/2024,Billing,Low,16
606,172,12/1/2024,Technical,Medium,53
607,172,12/27/2024,Billing,Medium,25
608,172,12/26/2024,Billing,Medium,40
609,173,10/16/2024,Technical,Low,19
610,173,12/13/2024,Billing,Medium,94
611,173,12/1/2024,Access,Low,39
612,173,12/14/2024,Billing,Low,20
613,174,2/17/2024,Access,Low,5
614,174,9/1/2024,Billing,High,20
615,174,3/24/2024,Access,Low,10
616,174,6/16/2024,Billing,Low,37
617,174,5/7/2024,Technical,Low,20
618,175,11/18/2024,Access,Medium,67
619,175,12/27/2024,Technical,Low,47
620,175,6/29/2024,Billing,Low,39
621,175,11/17/2024,Billing,Low,27
622,175,12/23/2024,Technical,Low,22
623,175,12/16/2024,Billing,Low,35
624,175,11/14/2024,Technical,Low,45
625,175,9/25/2024,Billing,Low,6
626,175,12/3/2024,Billing,Low,4
627,176,12/15/2024,Technical,Low,43
628,176,7/19/2024,Billing,Low,43
629,176,6/23/2024,Technical,Low,33
630,176,5/30/2024,Billing,Low,15
631,177,7/16/2023,Billing,High,42
632,177,7/8/2023,Technical,Medium,103
633,177,7/17/2023,Access,High,4
634,177,7/16/2023,Technical,Medium,39
635,177,7/14/2023,Billing,Low,31
636,177,8/2/2023,Billing,Medium,66
637,178,7/18/2024,Billing,High,4
638,178,9/27/2024,Technical,Low,14
639,178,10/16/2024,Technical,Medium,90
640,178,10/4/2024,Technical,Low,34
641,178,9/17/2024,Technical,Low,18
642,178,9/27/2024,Billing,Low,40
643,178,10/6/2024,Technical,Low,43
644,178,8/28/2024,Billing,Medium,29
645,178,10/5/2024,Access,Low,45
646,178,9/4/2024,Billing,Low,45
647,178,10/11/2024,Technical,Low,17
648,179,9/16/2024,Billing,Medium,105
649,180,4/16/2024,Technical,Low,19
650,180,4/13/2024,Access,Medium,70
651,180,4/15/2023,Billing,Low,44
652,180,3/13/2024,Technical,Low,11
653,181,10/22/2024,Technical,Low,21
654,182,5/6/2024,Access,Medium,76
655,182,6/26/2024,Billing,Low,31
656,182,12/21/2023,Technical,Medium,33
657,183,10/6/2024,Technical,Low,8
658,183,12/22/2024,Access,Medium,113
659,183,7/10/2024,Technical,Low,20
660,184,12/29/2023,Billing,Low,45
661,184,1/14/2024,Access,Medium,19
662,184,2/3/2024,Billing,Low,4
663,184,1/25/2024,Technical,Low,5
664,184,4/4/2023,Billing,Low,27
665,184,2/17/2024,Billing,Medium,52
666,184,2/8/2024,Technical,Low,36
667,184,12/31/2023,Access,Medium,97
668,185,5/11/2023,Technical,High,63
669,185,1/17/2024,Technical,Medium,113
670,186,10/16/2024,Technical,Low,42
671,186,11/1/2024,Access,Low,29
672,186,10/29/2024,Technical,Low,17
673,186,8/7/2024,Access,Low,11
674,186,6/6/2024,Access,Low,28
675,188,11/20/2023,Access,Low,41
676,188,12/12/2023,Billing,Low,37
677,189,12/10/2023,Access,Low,1
678,189,11/7/2023,Technical,Medium,63
679,189,12/10/2023,Billing,Low,37
680,189,8/16/2023,Technical,Low,9
681,189,11/2/2023,Billing,Low,36
682,189,11/8/2023,Technical,High,16
683,189,12/16/2023,Billing,Low,27
684,189,10/24/2023,Billing,Low,27
685,190,12/30/2023,Billing,Medium,17
686,190,7/23/2024,Technical,Medium,72
687,190,6/19/2024,Billing,High,56
688,190,3/16/2024,Access,Medium,69
689,191,12/26/2024,Billing,Low,20
690,191,10/4/2024,Technical,Low,37
691,192,8/14/2024,Access,Medium,108
692,192,10/5/2024,Technical,Low,29
693,192,3/1/2024,Technical,Low,20
694,192,12/10/2023,Billing,Low,36
695,193,5/30/2023,Technical,Low,14
696,193,5/30/2023,Technical,Medium,35
697,193,5/2/2023,Technical,Low,10
698,193,5/26/2023,Billing,Low,3
